Date,Close,High,Low,Open,Volume
2021-01-07,26.317270278930664,27.46747074745547,25.853757561405548,26.24860166754958,28347
2021-01-08,26.866619110107425,27.038291456771983,26.09409682449456,26.609112227299413,40888
2021-01-11,27.8623161315918,28.325830507566288,26.62628107003765,26.866620402300946,76443
2021-01-12,28.11981964111328,29.270020023909645,26.488940651664805,27.862312776924306,59920
2021-01-13,27.810813903808597,28.102655895338614,27.4159681823079,27.879480874204045,27161
2021-01-14,26.96961975097656,27.381631371069577,26.334434760702667,27.295795207586373,25835
2021-01-15,27.364463806152344,27.46746752975192,26.094093825826597,26.76361393625221,31208
2021-01-18,28.2914981842041,28.32583331346512,27.364470977614623,28.05115882813329,30923
2021-01-19,31.106914520263672,31.106914520263672,28.291496319600512,28.291496319600512,71079
2021-01-20,32.90945816040039,34.1626605232969,29.39019035380686,32.17126948038879,75903
2021-01-21,31.67342567443848,34.128327901820725,30.90090181920734,32.20560695561027,55708
2021-01-22,32.377288818359375,33.75066132708347,31.330090233970783,31.518930181812227,49069
2021-01-25,33.04679870605469,34.28283363472604,31.67342656308652,32.96096417501073,52448
2021-01-26,33.510311126708984,34.677679019040895,31.913764054806656,33.49314356660089,65065
2021-01-27,30.11425399780273,34.92154497940415,30.11425399780273,33.51369561799408,56976
2021-01-28,31.316076278686523,31.93415778721782,27.126864988221563,30.045577947034054,34092
2021-01-29,30.25160789489746,31.31607802482336,29.547679873871243,30.47480218836312,24309
2021-02-01,30.663654327392575,31.161550690113007,28.775074803053823,30.251601148852632,21875
2021-02-02,30.457637786865234,31.09288872754192,29.11846198675993,30.646496794173487,36112
2021-02-03,30.045581817626957,30.6464941089212,29.444669526332707,30.388961205426103,25961
2021-02-04,30.09708595275879,31.50493537259148,30.028408773884937,30.37178811883794,36501
2021-02-05,30.217267990112305,30.69799514735862,30.02840902136088,30.165760105532417,13812
2021-02-08,31.74530029296875,33.23899624961985,30.148591838354616,30.88685516895756,40069
2021-02-09,30.16576194763184,31.65945794458087,29.29014750455252,31.65945794458087,31440
2021-02-10,30.045581817626957,30.45763511816081,29.444669526332707,30.1142590050702,15330
2021-02-11,29.30731964111328,30.285946679789536,29.30731964111328,29.616360448002347,18137
2021-02-12,29.976905822753903,30.38896241438913,29.10129457097788,29.599191100915057,14322
2021-02-15,30.045581817626957,30.88685771555549,29.530516010636763,30.88685771555549,35433
2021-02-16,30.045581817626957,30.6464941089212,29.204305919698424,30.6464941089212,37499
2021-02-17,30.25160789489746,30.92119405000273,29.547679873871243,30.21726930368481,38548
2021-02-18,30.73233413696289,31.02420560396372,29.599186859126306,30.251606973461428,33453
2021-02-19,32.191688537597656,33.8055661065341,30.54347565633245,30.715162042099983,66253
2021-02-22,35.40228271484375,35.40228271484375,32.41489043364759,32.620918729654065,127959
2021-02-23,36.03752517700195,38.92190125872298,34.28629637385587,37.68574148428891,167396
2021-02-24,37.3251953125,37.5312235925923,32.62091620992802,36.037527567371264,110532
2021-02-25,37.22218704223633,39.29962300206994,35.19625570225092,38.63003674637296,41318
2021-02-26,36.00318908691406,36.48391955881942,34.33780664359475,35.45378470456989,24239
2021-03-01,34.938720703125,36.89597473408454,34.251965190043464,36.00319092972424,39817
2021-03-02,34.767032623291016,34.93872232822432,31.4706027324647,31.4706027324647,18515
2021-03-03,33.410682678222656,34.25196178209031,31.762469610818528,34.25196178209031,12936
2021-03-04,35.00739288330078,35.02456217961606,33.410684347772005,33.410684347772005,9930
2021-03-05,32.552242279052734,34.767032593933905,31.607953814780004,34.767032593933905,13610
2021-03-08,33.548030853271484,33.90857616724069,32.63807801014191,33.90857616724069,9000
2021-03-09,32.65525436401367,33.54803810791442,32.65525436401367,33.54803810791442,6344
2021-03-10,32.6037483215332,32.706760828673254,32.6037483215332,32.67242550943227,6652
2021-03-11,32.67241668701172,32.723921289319854,32.19168632565386,32.19168632565386,7174
2021-03-12,32.466392517089844,32.67242077623152,32.44922322260236,32.67242077623152,8149
2021-03-15,32.638084411621094,32.638084411621094,32.53507191238374,32.53507191238374,9966
2021-03-16,32.586578369140625,32.638086259028945,32.586578369140625,32.638086259028945,12952
2021-03-17,30.81818199157715,33.65105031294716,30.81818199157715,32.58657689309777,36848
2021-03-18,30.062744140625,31.48776270241555,29.61635234992211,30.715160896447514,35731
2021-03-19,29.54767417907715,29.976896662385357,28.328683898341527,29.976896662385357,19440
2021-03-22,26.59463119506836,27.81362504946639,26.59463119506836,26.61180049157633,51573
2021-03-23,27.45307922363281,29.169969756253067,23.96779190087293,23.96779190087293,23284
2021-03-24,29.633529663085938,30.028413682030006,26.78349176814486,27.453077998068167,32637
2021-03-25,28.757909774780277,30.37178741935784,28.311517946505283,29.78804451120655,26905
2021-03-26,27.77928733825684,29.169967652462404,27.556089751276684,28.89526544903189,11188
2021-03-29,27.36722946166992,29.08412132374836,27.36722946166992,27.47024359558919,20592
2021-03-30,27.762113571166992,28.328687183855788,26.869329916412514,26.869329916412514,19561
2021-03-31,27.83078956604004,28.569052902411443,27.29855450191277,27.76211565843085,11536
